Season	JJA	JAS	ASO	SON	OND	NDJ	DJF	JFM	FMA	MAM	AMJ	MJJ
2007	-0.5	-0.8	-1.1	-1.4	-1.5	-1.6	-1.6	-1.4	-1.2	-0.9	-0.8	-0.5
2008	-0.4	-0.3	-0.3	-0.4	-0.6	-0.7	-0.8	-0.7	-0.5	-0.2	0.1	0.4
2009	0.5	0.5	0.7	1	1.3	1.6	1.5	1.3	0.9	0.4	-0.1	-0.6
2010	-1	-1.4	-1.6	-1.7	-1.7	-1.6	-1.4	-1.1	-0.8	-0.6	-0.5	-0.4
2011	-0.5	-0.7	-0.9	-1.1	-1.1	-1	-0.8	-0.6	-0.5	-0.4	-0.2	0.1
2012	0.3	0.3	0.3	0.2	0	-0.2	-0.4	-0.3	-0.2	-0.2	-0.3	-0.3
2013	-0.4	-0.4	-0.3	-0.2	-0.2	-0.3	-0.4	-0.4	-0.2	0.1	0.3	0.2
2014	0.1	0	0.2	0.4	0.6	0.7	0.6	0.6	0.6	0.8	1	1.2
2015	1.5	1.8	2.1	2.4	2.5	2.6	2.5	2.2	1.7	1	0.5	0
2016	-0.3	-0.6	-0.7	-0.7	-0.7	-0.6	-0.3	-0.1	0.1	0.3	0.4	0.4
2017	0.2	-0.1	-0.4	-0.7	-0.9	-1	-0.9	-0.8	-0.6	-0.4	-0.1	0.1
