Country,City,Latitude,Longitude,Coffee type,Years,Total Production,Global Price of Arabica Coffee (US cents per a lb),Global Price of Robusta Coffee (US cents per a lb),Oceanic Index,El Nino or La Nina Year,Magnitude
Ethiopia,Jimma,7.6792,36.834,Arabica,2008,296940000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Gabon,Franceville,-1.6333,13.5833,Robusta,2008,120000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Ghana,Akuapim South,5.8598,-0.1867,Robusta,2008,1560000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Guatemala,Antigua Guatemala,14.5586,-90.7295,Arabica/Robusta,2008,227100000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Guinea,Siguiri,11.422,-9.168,Robusta,2008,30300000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Guyana,New Amsterdam,6.25,-57.5167,Robusta,2008,600000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Honduras,Santa Rosa de Copán,14.7667,-88.7833,Arabica,2008,207000000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
India,Chikmagalur Town,13.3167,75.7833,Arabica/Robusta,2008,244320000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Jamaica,Blue Mountain Peak,18.0442,-76.5796,Arabica,2008,1920000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Kenya,Nyeri Town,-0.4201,36.9476,Arabica,2008,32460000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Lao People's Democratic Republic,Paksong,15.1333,106.3833,Robusta,2008,24360000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Liberia,Gbarnga,7.0104,-9.49,Robusta,2008,720000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Mexico,Coatepec,19.4533,-96.9614,Arabica/Robusta,2008,279060000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Nepal,Baglung,28.2719,83.5898,Arabica,2008,60000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Nicaragua,Matagalpa City,12.9171,-85.9167,Arabica,2008,86700000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Nigeria,Jos,9.9285,8.8921,Robusta,2008,3000000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Panama,Boquete,8.7783,-82.4324,Arabica,2008,8940000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Sierra Leone,Kenema City,7.8758,-11.1875,Robusta,2008,5160000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Sri Lanka,Bandarawela,6.8259,80.9982,Arabica/Robusta,2008,1860000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Thailand,Chiang Mai City,18.7883,98.9853,Arabica/Robusta,2008,40500000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Togo,Sokodé,8.9833,1.1333,Robusta,2008,8280000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Trinidad & Tobago,Scarborough,11.1833,-60.7333,Robusta,2008,660000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Uganda,Mbale,1.0761,34.1756,Arabica/Robusta,2008,200100000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Venezuela,San Cristóbal,7.7669,-72.225,Arabica,2008,55920000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Yemen,Taiz,13.5795,44.0209,Arabica,2008,13200000.0,139.71,105.2,-0.3666666666666667,La Nina,Neutral
Angola,Bailundo,-12.165,15.3694,Arabica/Robusta,2009,780000.0,143.75,74.54,0.75,El Nino,Weak
Bolivia,Coroico,-16.1889,-67.7273,Arabica,2009,7680000.0,143.75,74.54,0.75,El Nino,Weak
Brazil,Poços de Caldas,-21.78,-46.5692,Arabica/Robusta,2009,2638620000.0,143.75,74.54,0.75,El Nino,Weak
Burundi,Bukeye,-3.083,29.367,Arabica/Robusta,2009,6720000.0,143.75,74.54,0.75,El Nino,Weak
Ecuador,Zamora,-4.0692,-78.9567,Arabica/Robusta,2009,48780000.0,143.75,74.54,0.75,El Nino,Weak
Indonesia,Medan (Sumatra),3.5952,98.6722,Arabica/Robusta,2009,682800000.0,143.75,74.54,0.75,El Nino,Weak
Madagascar,Antsirabe,-19.865,47.0333,Robusta,2009,27420000.0,143.75,74.54,0.75,El Nino,Weak
Malawi,Thyolo Town,-16.0703,35.1471,Arabica,2009,1020000.0,143.75,74.54,0.75,El Nino,Weak
Papua New Guinea,Goroka,-6.083,145.3874,Arabica/Robusta,2009,62280000.0,143.75,74.54,0.75,El Nino,Weak
Paraguay,Villarrica,-25.75,-56.4333,Arabica,2009,1200000.0,143.75,74.54,0.75,El Nino,Weak
Peru,Jaén,-5.7091,-78.8047,Arabica,2009,197160000.0,143.75,74.54,0.75,El Nino,Weak
Rwanda,Huye (Butare),-2.6138,29.7372,Arabica,2009,15540000.0,143.75,74.54,0.75,El Nino,Weak
Timor-Leste,Ermera,-8.7543,125.3968,Arabica,2009,2820000.0,143.75,74.54,0.75,El Nino,Weak
Zimbabwe,Mutare City,-18.9707,32.6709,Arabica,2009,1260000.0,143.75,74.54,0.75,El Nino,Weak
Cuba,Santiago de Cuba,20.0169,-75.8302,Arabica,2009,5520000.0,143.75,74.54,0.75,El Nino,Weak
Dominican Republic,Constanza,18.9092,-70.7506,Arabica/Robusta,2009,21120000.0,143.75,74.54,0.75,El Nino,Weak
Haiti,Dondon,19.533,-72.2,Arabica,2009,21060000.0,143.75,74.54,0.75,El Nino,Weak
Philippines,Baguio,16.4023,120.596,Arabica/Robusta,2009,43800000.0,143.75,74.54,0.75,El Nino,Weak
Tanzania,Moshi,-3.3349,37.3404,Arabica/Robusta,2009,40500000.0,143.75,74.54,0.75,El Nino,Weak
Zambia,Chipata City,-13.6333,32.65,Arabica,2009,1680000.0,143.75,74.54,0.75,El Nino,Weak
Cameroon,Dschang,5.447,10.05,Arabica/Robusta,2009,54120000.0,143.75,74.54,0.75,El Nino,Weak
Central African Republic,Berbérati,4.2611,15.7922,Robusta,2009,6720000.0,143.75,74.54,0.75,El Nino,Weak
Colombia,Armenia,4.5361,-75.6757,Arabica,2009,485880000.0,143.75,74.54,0.75,El Nino,Weak
Costa Rica,San Marcos,9.6635,-84.0167,Arabica,2009,88620000.0,143.75,74.54,0.75,El Nino,Weak
Côte d'Ivoire,Abengourou,6.7303,-3.483,Robusta,2009,119340000.0,143.75,74.54,0.75,El Nino,Weak
Democratic Republic of Congo,Goma,-1.6792,29.2228,Arabica/Robusta,2009,20760000.0,143.75,74.54,0.75,El Nino,Weak
El Salvador,Apaneca,13.8659,-89.8434,Arabica,2009,64500000.0,143.75,74.54,0.75,El Nino,Weak
Equatorial Guinea,Bata,1.8639,9.7658,Robusta,2009,0.0,143.75,74.54,0.75,El Nino,Weak
Ethiopia,Jimma,7.6792,36.834,Arabica,2009,409800000.0,143.75,74.54,0.75,El Nino,Weak
Gabon,Franceville,-1.6333,13.5833,Robusta,2009,0.0,143.75,74.54,0.75,El Nino,Weak
Ghana,Akuapim South,5.8598,-0.1867,Robusta,2009,1140000.0,143.75,74.54,0.75,El Nino,Weak
Guatemala,Antigua Guatemala,14.5586,-90.7295,Arabica/Robusta,2009,230100000.0,143.75,74.54,0.75,El Nino,Weak
Guinea,Siguiri,11.422,-9.168,Robusta,2009,29940000.0,143.75,74.54,0.75,El Nino,Weak
Guyana,New Amsterdam,6.25,-57.5167,Robusta,2009,540000.0,143.75,74.54,0.75,El Nino,Weak
Honduras,Santa Rosa de Copán,14.7667,-88.7833,Arabica,2009,216180000.0,143.75,74.54,0.75,El Nino,Weak
India,Chikmagalur Town,13.3167,75.7833,Arabica/Robusta,2009,289620000.0,143.75,74.54,0.75,El Nino,Weak
Jamaica,Blue Mountain Peak,18.0442,-76.5796,Arabica,2009,1500000.0,143.75,74.54,0.75,El Nino,Weak
Kenya,Nyeri Town,-0.4201,36.9476,Arabica,2009,37800000.0,143.75,74.54,0.75,El Nino,Weak
Lao People's Democratic Republic,Paksong,15.1333,106.3833,Robusta,2009,26040000.0,143.75,74.54,0.75,El Nino,Weak
Liberia,Gbarnga,7.0104,-9.49,Robusta,2009,780000.0,143.75,74.54,0.75,El Nino,Weak
Mexico,Coatepec,19.4533,-96.9614,Arabica/Robusta,2009,246540000.0,143.75,74.54,0.75,El Nino,Weak
Nepal,Baglung,28.2719,83.5898,Arabica,2009,60000.0,143.75,74.54,0.75,El Nino,Weak
Nicaragua,Matagalpa City,12.9171,-85.9167,Arabica,2009,112260000.0,143.75,74.54,0.75,El Nino,Weak
Nigeria,Jos,9.9285,8.8921,Robusta,2009,2040000.0,143.75,74.54,0.75,El Nino,Weak
Panama,Boquete,8.7783,-82.4324,Arabica,2009,8280000.0,143.75,74.54,0.75,El Nino,Weak
Sierra Leone,Kenema City,7.8758,-11.1875,Robusta,2009,5460000.0,143.75,74.54,0.75,El Nino,Weak
Sri Lanka,Bandarawela,6.8259,80.9982,Arabica/Robusta,2009,1920000.0,143.75,74.54,0.75,El Nino,Weak
Thailand,Chiang Mai City,18.7883,98.9853,Arabica/Robusta,2009,47700000.0,143.75,74.54,0.75,El Nino,Weak
Togo,Sokodé,8.9833,1.1333,Robusta,2009,12120000.0,143.75,74.54,0.75,El Nino,Weak
Trinidad & Tobago,Scarborough,11.1833,-60.7333,Robusta,2009,660000.0,143.75,74.54,0.75,El Nino,Weak
Uganda,Mbale,1.0761,34.1756,Arabica/Robusta,2009,173640000.0,143.75,74.54,0.75,El Nino,Weak
Venezuela,San Cristóbal,7.7669,-72.225,Arabica,2009,72840000.0,143.75,74.54,0.75,El Nino,Weak
Yemen,Taiz,13.5795,44.0209,Arabica,2009,8100000.0,143.75,74.54,0.75,El Nino,Weak
Angola,Bailundo,-12.165,15.3694,Arabica/Robusta,2010,2100000.0,196.05,78.73,-1.15,La Nina,Moderate
Bolivia,Coroico,-16.1889,-67.7273,Arabica,2010,7020000.0,196.05,78.73,-1.15,La Nina,Moderate
Brazil,Poços de Caldas,-21.78,-46.5692,Arabica/Robusta,2010,3325680000.0,196.05,78.73,-1.15,La Nina,Moderate
Burundi,Bukeye,-3.083,29.367,Arabica/Robusta,2010,21180000.0,196.05,78.73,-1.15,La Nina,Moderate
Ecuador,Zamora,-4.0692,-78.9567,Arabica/Robusta,2010,51240000.0,196.05,78.73,-1.15,La Nina,Moderate
Indonesia,Medan (Sumatra),3.5952,98.6722,Arabica/Robusta,2010,547740000.0,196.05,78.73,-1.15,La Nina,Moderate
Madagascar,Antsirabe,-19.865,47.0333,Robusta,2010,31800000.0,196.05,78.73,-1.15,La Nina,Moderate
Malawi,Thyolo Town,-16.0703,35.1471,Arabica,2010,1020000.0,196.05,78.73,-1.15,La Nina,Moderate
Papua New Guinea,Goroka,-6.083,145.3874,Arabica/Robusta,2010,52020000.0,196.05,78.73,-1.15,La Nina,Moderate
Paraguay,Villarrica,-25.75,-56.4333,Arabica,2010,1200000.0,196.05,78.73,-1.15,La Nina,Moderate
Peru,Jaén,-5.7091,-78.8047,Arabica,2010,244140000.0,196.05,78.73,-1.15,La Nina,Moderate
Rwanda,Huye (Butare),-2.6138,29.7372,Arabica,2010,19380000.0,196.05,78.73,-1.15,La Nina,Moderate
Timor-Leste,Ermera,-8.7543,125.3968,Arabica,2010,3600000.0,196.05,78.73,-1.15,La Nina,Moderate
Zimbabwe,Mutare City,-18.9707,32.6709,Arabica,2010,600000.0,196.05,78.73,-1.15,La Nina,Moderate
Cuba,Santiago de Cuba,20.0169,-75.8302,Arabica,2010,6480000.0,196.05,78.73,-1.15,La Nina,Moderate
Dominican Republic,Constanza,18.9092,-70.7506,Arabica/Robusta,2010,22680000.0,196.05,78.73,-1.15,La Nina,Moderate
Haiti,Dondon,19.533,-72.2,Arabica,2010,21000000.0,196.05,78.73,-1.15,La Nina,Moderate
Philippines,Baguio,16.4023,120.596,Arabica/Robusta,2010,11340000.0,196.05,78.73,-1.15,La Nina,Moderate
Tanzania,Moshi,-3.3349,37.3404,Arabica/Robusta,2010,50760000.0,196.05,78.73,-1.15,La Nina,Moderate
Zambia,Chipata City,-13.6333,32.65,Arabica,2010,780000.0,196.05,78.73,-1.15,La Nina,Moderate
Cameroon,Dschang,5.447,10.05,Arabica/Robusta,2010,31620000.0,196.05,78.73,-1.15,La Nina,Moderate
Central African Republic,Berbérati,4.2611,15.7922,Robusta,2010,4680000.0,196.05,78.73,-1.15,La Nina,Moderate
Colombia,Armenia,4.5361,-75.6757,Arabica,2010,511380000.0,196.05,78.73,-1.15,La Nina,Moderate
Costa Rica,San Marcos,9.6635,-84.0167,Arabica,2010,96840000.0,196.05,78.73,-1.15,La Nina,Moderate
Côte d'Ivoire,Abengourou,6.7303,-3.483,Robusta,2010,50220000.0,196.05,78.73,-1.15,La Nina,Moderate
Democratic Republic of Congo,Goma,-1.6792,29.2228,Arabica/Robusta,2010,18300000.0,196.05,78.73,-1.15,La Nina,Moderate
El Salvador,Apaneca,13.8659,-89.8434,Arabica,2010,112380000.0,196.05,78.73,-1.15,La Nina,Moderate
Equatorial Guinea,Bata,1.8639,9.7658,Robusta,2010,0.0,196.05,78.73,-1.15,La Nina,Moderate
Ethiopia,Jimma,7.6792,36.834,Arabica,2010,333600000.0,196.05,78.73,-1.15,La Nina,Moderate
Gabon,Franceville,-1.6333,13.5833,Robusta,2010,120000.0,196.05,78.73,-1.15,La Nina,Moderate
Ghana,Akuapim South,5.8598,-0.1867,Robusta,2010,4140000.0,196.05,78.73,-1.15,La Nina,Moderate
Guatemala,Antigua Guatemala,14.5586,-90.7295,Arabica/Robusta,2010,237000000.0,196.05,78.73,-1.15,La Nina,Moderate
Guinea,Siguiri,11.422,-9.168,Robusta,2010,23160000.0,196.05,78.73,-1.15,La Nina,Moderate
Guyana,New Amsterdam,6.25,-57.5167,Robusta,2010,540000.0,196.05,78.73,-1.15,La Nina,Moderate
Honduras,Santa Rosa de Copán,14.7667,-88.7833,Arabica,2010,259860000.0,196.05,78.73,-1.15,La Nina,Moderate
India,Chikmagalur Town,13.3167,75.7833,Arabica/Robusta,2010,336000000.0,196.05,78.73,-1.15,La Nina,Moderate
Jamaica,Blue Mountain Peak,18.0442,-76.5796,Arabica,2010,1260000.0,196.05,78.73,-1.15,La Nina,Moderate
Kenya,Nyeri Town,-0.4201,36.9476,Arabica,2010,38460000.0,196.05,78.73,-1.15,La Nina,Moderate
Lao People's Democratic Republic,Paksong,15.1333,106.3833,Robusta,2010,32640000.0,196.05,78.73,-1.15,La Nina,Moderate
Liberia,Gbarnga,7.0104,-9.49,Robusta,2010,600000.0,196.05,78.73,-1.15,La Nina,Moderate
Mexico,Coatepec,19.4533,-96.9614,Arabica/Robusta,2010,240060000.0,196.05,78.73,-1.15,La Nina,Moderate
Nepal,Baglung,28.2719,83.5898,Arabica,2010,180000.0,196.05,78.73,-1.15,La Nina,Moderate
Nicaragua,Matagalpa City,12.9171,-85.9167,Arabica,2010,98280000.0,196.05,78.73,-1.15,La Nina,Moderate
Nigeria,Jos,9.9285,8.8921,Robusta,2010,2520000.0,196.05,78.73,-1.15,La Nina,Moderate
Panama,Boquete,8.7783,-82.4324,Arabica,2010,6840000.0,196.05,78.73,-1.15,La Nina,Moderate
Sierra Leone,Kenema City,7.8758,-11.1875,Robusta,2010,1980000.0,196.05,78.73,-1.15,La Nina,Moderate
Sri Lanka,Bandarawela,6.8259,80.9982,Arabica/Robusta,2010,2220000.0,196.05,78.73,-1.15,La Nina,Moderate
Thailand,Chiang Mai City,18.7883,98.9853,Arabica/Robusta,2010,49680000.0,196.05,78.73,-1.15,La Nina,Moderate
Togo,Sokodé,8.9833,1.1333,Robusta,2010,9600000.0,196.05,78.73,-1.15,La Nina,Moderate
Trinidad & Tobago,Scarborough,11.1833,-60.7333,Robusta,2010,600000.0,196.05,78.73,-1.15,La Nina,Moderate
Uganda,Mbale,1.0761,34.1756,Arabica/Robusta,2010,196020000.0,196.05,78.73,-1.15,La Nina,Moderate
Venezuela,San Cristóbal,7.7669,-72.225,Arabica,2010,72120000.0,196.05,78.73,-1.15,La Nina,Moderate
Yemen,Taiz,13.5795,44.0209,Arabica,2010,9660000.0,196.05,78.73,-1.15,La Nina,Moderate
Angola,Bailundo,-12.165,15.3694,Arabica/Robusta,2011,1740000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Bolivia,Coroico,-16.1889,-67.7273,Arabica,2011,7920000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Brazil,Poços de Caldas,-21.78,-46.5692,Arabica/Robusta,2011,2915520000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Burundi,Bukeye,-3.083,29.367,Arabica/Robusta,2011,12240000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Ecuador,Zamora,-4.0692,-78.9567,Arabica/Robusta,2011,49500000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Indonesia,Medan (Sumatra),3.5952,98.6722,Arabica/Robusta,2011,413340000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Madagascar,Antsirabe,-19.865,47.0333,Robusta,2011,35100000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Malawi,Thyolo Town,-16.0703,35.1471,Arabica,2011,1560000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Papua New Guinea,Goroka,-6.083,145.3874,Arabica/Robusta,2011,84840000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Paraguay,Villarrica,-25.75,-56.4333,Arabica,2011,1200000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Peru,Jaén,-5.7091,-78.8047,Arabica,2011,322380000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Rwanda,Huye (Butare),-2.6138,29.7372,Arabica,2011,15060000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Timor-Leste,Ermera,-8.7543,125.3968,Arabica,2011,2820000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Zimbabwe,Mutare City,-18.9707,32.6709,Arabica,2011,540000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Cuba,Santiago de Cuba,20.0169,-75.8302,Arabica,2011,6000000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Dominican Republic,Constanza,18.9092,-70.7506,Arabica/Robusta,2011,29460000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Haiti,Dondon,19.533,-72.2,Arabica,2011,20940000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Philippines,Baguio,16.4023,120.596,Arabica/Robusta,2011,10800000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Tanzania,Moshi,-3.3349,37.3404,Arabica/Robusta,2011,38460000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Zambia,Chipata City,-13.6333,32.65,Arabica,2011,660000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Cameroon,Dschang,5.447,10.05,Arabica/Robusta,2011,40140000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Central African Republic,Berbérati,4.2611,15.7922,Robusta,2011,5460000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Colombia,Armenia,4.5361,-75.6757,Arabica,2011,459180000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Costa Rica,San Marcos,9.6635,-84.0167,Arabica,2011,109860000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Côte d'Ivoire,Abengourou,6.7303,-3.483,Robusta,2011,132960000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Democratic Republic of Congo,Goma,-1.6792,29.2228,Arabica/Robusta,2011,21420000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
El Salvador,Apaneca,13.8659,-89.8434,Arabica,2011,69840000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Equatorial Guinea,Bata,1.8639,9.7658,Robusta,2011,0.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Ethiopia,Jimma,7.6792,36.834,Arabica,2011,339000000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Gabon,Franceville,-1.6333,13.5833,Robusta,2011,60000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Ghana,Akuapim South,5.8598,-0.1867,Robusta,2011,1800000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Guatemala,Antigua Guatemala,14.5586,-90.7295,Arabica/Robusta,2011,231000000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Guinea,Siguiri,11.422,-9.168,Robusta,2011,23160000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Guyana,New Amsterdam,6.25,-57.5167,Robusta,2011,600000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Honduras,Santa Rosa de Copán,14.7667,-88.7833,Arabica,2011,352920000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
India,Chikmagalur Town,13.3167,75.7833,Arabica/Robusta,2011,320040000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Jamaica,Blue Mountain Peak,18.0442,-76.5796,Arabica,2011,1440000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Kenya,Nyeri Town,-0.4201,36.9476,Arabica,2011,45420000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Lao People's Democratic Republic,Paksong,15.1333,106.3833,Robusta,2011,30840000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Liberia,Gbarnga,7.0104,-9.49,Robusta,2011,600000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Mexico,Coatepec,19.4533,-96.9614,Arabica/Robusta,2011,273660000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Nepal,Baglung,28.2719,83.5898,Arabica,2011,120000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Nicaragua,Matagalpa City,12.9171,-85.9167,Arabica,2011,131580000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Nigeria,Jos,9.9285,8.8921,Robusta,2011,2820000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Panama,Boquete,8.7783,-82.4324,Arabica,2011,6360000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Sierra Leone,Kenema City,7.8758,-11.1875,Robusta,2011,4680000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Sri Lanka,Bandarawela,6.8259,80.9982,Arabica/Robusta,2011,2160000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Thailand,Chiang Mai City,18.7883,98.9853,Arabica/Robusta,2011,49860000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Togo,Sokodé,8.9833,1.1333,Robusta,2011,9600000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Trinidad & Tobago,Scarborough,11.1833,-60.7333,Robusta,2011,660000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Uganda,Mbale,1.0761,34.1756,Arabica/Robusta,2011,186900000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Venezuela,San Cristóbal,7.7669,-72.225,Arabica,2011,54120000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Yemen,Taiz,13.5795,44.0209,Arabica,2011,11100000.0,271.11,109.24,-0.6416666666666667,La Nina,Weak
Angola,Bailundo,-12.165,15.3694,Arabica/Robusta,2012,1980000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Bolivia,Coroico,-16.1889,-67.7273,Arabica,2012,6300000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Brazil,Poços de Caldas,-21.78,-46.5692,Arabica/Robusta,2012,3325080000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Burundi,Bukeye,-3.083,29.367,Arabica/Robusta,2012,24360000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Ecuador,Zamora,-4.0692,-78.9567,Arabica/Robusta,2012,49680000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Indonesia,Medan (Sumatra),3.5952,98.6722,Arabica/Robusta,2012,784200000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Madagascar,Antsirabe,-19.865,47.0333,Robusta,2012,30000000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Malawi,Thyolo Town,-16.0703,35.1471,Arabica,2012,1380000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Papua New Guinea,Goroka,-6.083,145.3874,Arabica/Robusta,2012,42960000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Paraguay,Villarrica,-25.75,-56.4333,Arabica,2012,1200000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Peru,Jaén,-5.7091,-78.8047,Arabica,2012,267000000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Rwanda,Huye (Butare),-2.6138,29.7372,Arabica,2012,15540000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Timor-Leste,Ermera,-8.7543,125.3968,Arabica,2012,3660000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Zimbabwe,Mutare City,-18.9707,32.6709,Arabica,2012,420000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Cuba,Santiago de Cuba,20.0169,-75.8302,Arabica,2012,5280000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Dominican Republic,Constanza,18.9092,-70.7506,Arabica/Robusta,2012,29280000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Haiti,Dondon,19.533,-72.2,Arabica,2012,21000000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Philippines,Baguio,16.4023,120.596,Arabica/Robusta,2012,10620000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Tanzania,Moshi,-3.3349,37.3404,Arabica/Robusta,2012,69060000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Zambia,Chipata City,-13.6333,32.65,Arabica,2012,300000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Cameroon,Dschang,5.447,10.05,Arabica/Robusta,2012,22260000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Central African Republic,Berbérati,4.2611,15.7922,Robusta,2012,1380000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Colombia,Armenia,4.5361,-75.6757,Arabica,2012,595620000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Costa Rica,San Marcos,9.6635,-84.0167,Arabica,2012,109380000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Côte d'Ivoire,Abengourou,6.7303,-3.483,Robusta,2012,119640000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Democratic Republic of Congo,Goma,-1.6792,29.2228,Arabica/Robusta,2012,20040000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
El Salvador,Apaneca,13.8659,-89.8434,Arabica,2012,74400000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Equatorial Guinea,Bata,1.8639,9.7658,Robusta,2012,0.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Ethiopia,Jimma,7.6792,36.834,Arabica,2012,367920000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Gabon,Franceville,-1.6333,13.5833,Robusta,2012,60000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Ghana,Akuapim South,5.8598,-0.1867,Robusta,2012,1260000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Guatemala,Antigua Guatemala,14.5586,-90.7295,Arabica/Robusta,2012,225780000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Guinea,Siguiri,11.422,-9.168,Robusta,2012,14040000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Guyana,New Amsterdam,6.25,-57.5167,Robusta,2012,600000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
Honduras,Santa Rosa de Copán,14.7667,-88.7833,Arabica,2012,281160000.0,186.44,102.84,-0.0666666666666666,La Nina,Neutral
